id	item_id	order	en	order	section	array_start	array_end	array_seasons	start_time	end_time	is_allday	location	location_id	seasonality	is_allyear	hemi	array_seasons	seasonality2	is_allyear2	hemi2										
1	1257		brown cicada	26	1	{3/21/2020 08:00.00}	{3/21/2020 17:00.00}	"{7,8}"	3/21/2020 8:00:00	3/21/2020 17:00:00				"7,8"		north	"{1,2}"	"1,2"	0	south										
2	1258		tiger butterfly	3	1	{3/21/2020 04:00.00}	{3/21/2020 19:00.00}	"{3,4,5,6,7,8,9}"	3/21/2020 4:00:00	3/21/2020 19:00:00		flying	7	"3,4,5,6,7,8,9"		north	"{1,2,3,9,10,11,12}"	"1,2,3,9,10,11,12"	0	south										
3	1259		Rajah Brooke's birdwing	11	1	{3/21/2020 08:00.00}	{3/21/2020 17:00.00}	"{1,2,4,5,6,7,8,9,12}"	3/21/2020 8:00:00	3/21/2020 17:00:00		flying	7	"1,2,4,5,6,7,8,9,12"		north	"{1,2,3,6,7,8,10,11,12}"	"1,2,3,6,7,8,10,11,12"	0	south										
4	1260		red dragonfly	32	1	{3/21/2020 08:00.00}	{3/21/2020 19:00.00}	"{9,10}"	3/21/2020 8:00:00	3/21/2020 19:00:00		flying	7	"9,10"		north	"{3,4}"	"3,4"	0	south										
5	1261		Queen Alexandra's birdwing	12	1	{3/21/2020 08:00.00}	{3/21/2020 16:00.00}	"{5,6,7,8,9}"	3/21/2020 8:00:00	3/21/2020 16:00:00		flying	7	"5,6,7,8,9"		north	"{1,2,3,11,12}"	"1,2,3,11,12"	0	south										
6	1262		pondskater	38	1	{3/21/2020 08:00.00}	{3/21/2020 19:00.00}	"{5,6,7,8,9}"	3/21/2020 8:00:00	3/21/2020 19:00:00				"5,6,7,8,9"		north	"{1,2,3,11,12}"	"1,2,3,11,12"	0	south										
7	1263		ant	69	1						TRUE				TRUE	north			TRUE	south										
8	1264		pill bug	76	1	{3/20/2020 23:00.00}	{3/21/2020 16:00.00}	"{1,2,3,4,5,6,9,10,11,12}"	3/20/2020 23:00:00	3/21/2020 16:00:00		hitting rocks	5	"1,2,3,4,5,6,9,10,11,12"		north	"{3,4,5,6,7,8,9,10,11,12}"	"3,4,5,6,7,8,9,10,11,12"	0	south										
9	1265		wharf roach	71	1						TRUE				TRUE	north			TRUE	south										
10	1266		moth	13	1	{3/20/2020 19:00.00}	{3/21/2020 04:00.00}		3/20/2020 19:00:00	3/21/2020 4:00:00					TRUE	north			TRUE	south										
11	1267		diving beetle	39	1	{3/21/2020 08:00.00}	{3/21/2020 19:00.00}	"{5,6,7,8,9}"	3/21/2020 8:00:00	3/21/2020 19:00:00				"5,6,7,8,9"		north	"{1,2,3,11,12}"	"1,2,3,11,12"	0	south										
12	1268		darner dragonfly	33	1	{3/21/2020 08:00.00}	{3/21/2020 17:00.00}	"{4,5,6,7,8,9,10}"	3/21/2020 8:00:00	3/21/2020 17:00:00				"4,5,6,7,8,9,10"		north	"{1,2,3,4,10,11,12}"	"1,2,3,4,10,11,12"	0	south										
13	1269		goliath beetle	54	1	{3/20/2020 17:00.00}	{3/21/2020 08:00.00}	"{6,7,8,9}"	3/20/2020 17:00:00	3/21/2020 8:00:00				"6,7,8,9"		north	"{1,2,3,12}"	"1,2,3,12"	0	south										
14	1270		fly	2	1						TRUE				TRUE	north			TRUE	south										
