1,Cyrano,さくらじま,Theo,Cyrano
2,Antonio,マコト,Siggi,Antonio
3,Pango,パトラ,Mathilda,Mathilda
4,Anabelle,あるみ,Annabell,Anabelle
5,Snooty,こまち,Hilde,Tarina
6,Annalisa,みやび,Annalena,Roberta
7,Olaf,アントニオ,Olaf,Blair
8,Teddy,たいへいた,Torsten,Teddy
9,Pinky,タンタン,Pia,Rosine
10,Curt,ガンテツ,Kurt,Curt
11,Chow,チャウヤン,Chang,Chulin
12,Nate,バッカス,Nathan,Nathan
13,Groucho,クロー,Ernst,Ronchon
14,Tutu,れんにゅう,Mandy,Tutu
15,Ursala,ネーヤ,Ursula,Oursula
16,Grizzly,ムー,Gerald,Grizzly
17,Paula,レイチェル,Paula,Wendy
18,Ike,ダイク,Ike,Isaac
19,Charlise,チャーミー,Tabea,Zabou
20,Beardo,ベアード,Berthold,Eustache
21,Klaus,クマロス,Grischa,Klaus
22,Megan,キャンディ,Dagmar,Candy
23,Jay,ツバクロ,Jan,Gérard
24,Robin,パーチク,Jule,Robie
25,Anchovy,アンチョビ,Armin,Miguel
26,Twiggy,ピーチク,Twiggy,Titi
27,Jitters,ジーニョ,Alex,Gilbert
28,Piper,レイコ,Iris,Neige
29,Admiral,イッテツ,Ansgar,Maréchal
30,Midge,うずまき,Anna,Michèle
31,Jacob,ジャコテン,Jesko,Jacob
32,Lucha,マスカラス,Lukas,Condor
33,Jacques,ジョッキー,Pierre,Jacky
34,Peck,ふみたろう,Picko,Pec
35,Sparro,ちゅんのすけ,Nestor,Darius
36,Angus,セルバンテス,Angus,Angus
37,Rodeo,ロデオ,Toro,Flèche
38,Stu,モーリス,Carlos,Beubeu
39,T-Bone,ボルシチ,Marius,Steakos
40,Coach,テッチャン,Arnold,Arnold
41,Vic,ノルマン,Klaus,Toto
42,Bob,ニコバン,Jens,Robert
43,Mitzi,マール,Miezi,Mistigri
44,Rosie,ブーケ,Sophie,Rosie
45,Olivia,オリビア,Bianca,Olivia
46,Kiki,キャビア,Kiki,Kiki
47,Tangy,ヒャクパー,Tanja,Marine
48,Punchy,ビンタ,Julian,Cédric
49,Purrl,たま,Franka,Perle
50,Moe,ジンペイ,Tristan,Momo
51,Kabuki,かぶきち,Kabuki,Kabuki
52,Kid Cat,１ごう,Pit,Câlin
53,Monique,ジェーン,Monique,Monique
54,Tabby,トラこ,Zita,Tigri
55,Stinky,アセクサ,Stefan,Tupux
56,Kitty,ショコラ,Karen,Kitty
57,Tom,バンタム,Timo,Tom
58,Merry,さっち,Mischka,Suzy
59,Felicity,みかっち,Minka,Maud
60,Lolly,ラムネ,Feline,Linette
61,Ankha,ナイル,Kleo,Neferti
62,Rudy,チャス,Heinz,Rougepif
63,Katt,ちょい,Janine,Kat
64,Raymond,ジャック,Gunnar,Raymond
65,Bluebear,グルミン,Birte,Myrtille
66,Maple,メープル,Mona,Léa
